Lp;Band_name;Raw_data;Processing
1;S2_B1' ;Sentinel 2;Dry season average from 3 years
2;S2_B2' ;Sentinel 2;Dry season average from 3 years
3;'S2_B3';Sentinel 2;Dry season average from 3 years
4;'S2_B4';Sentinel 2;Dry season average from 3 years
5;'S2_B5';Sentinel 2;Dry season average from 3 years
6;'S2_B6';Sentinel 2;Dry season average from 3 years
7;'S2_B7';Sentinel 2;Dry season average from 3 years
8;'S2_B8';Sentinel 2;Dry season average from 3 years
9;'S2_B8A';Sentinel 2;Dry season average from 3 years
10;'S2_B9';Sentinel 2;Dry season average from 3 years
11;'S2_B11';Sentinel 2;Dry season average from 3 years
12;'S2_B12';Sentinel 2;Dry season average from 3 years
13;'S2_MSBI_Dry';Sentinel 2;Dry season average from 3 years
14;'S1_VH_STM_pc1';Sentinel 1;VH, Seasonal composite made of the average from 5 years for each pair of months, PCA of the SMT composite
15;'S1_VH_STM_pc2';Sentinel 1;VH, Seasonal composite made of the average from 5 years for each pair of months, PCA of the SMT composite
16;'S1_VH_std';Sentinel 1;VH, Seasonal composite made of the average from 5 years for each pair of months, Standard deviation of the SMT composite
17;'S1_VH';Sentinel 1;Dry season average from 5 years
18;'S1_VV_STM_pc1';Sentinel 1;VV, Seasonal composite made of the average from 5 years for each pair of months, PCA of the SMT composite
19;'S1_VV_STM_pc2';Sentinel 1;VV, Seasonal composite made of the average from 5 years for each pair of months, PCA of the SMT composite
20;'S1_VV_STM_pc3';Sentinel 1;VV, Seasonal composite made of the average from 5 years for each pair of months, PCA of the SMT composite
21;'S1_VV_std';Sentinel 1;VV, Seasonal composite made of the average from 5 years for each pair of months, Standard deviation of the SMT composite
22;'S1_VV';Sentinel 1;Dry season average from 5 years
23;L5_B1';LANDSAT 5;Dry season average from 28 years
24;'L5_B2';LANDSAT 5;Dry season average from 28 years
25;'L5_B3';LANDSAT 5;Dry season average from 28 years
26;'L5_B4';LANDSAT 5;Dry season average from 28 years
27;'L5_B5';LANDSAT 5;Dry season average from 28 years
28;'L5_B7';LANDSAT 5;Dry season average from 28 years
29;'L5_SMTVI_pc1';LANDSAT 5;EVI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
30;'L5_SMTVI_pc2';LANDSAT 5;EVI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
31;'L5_EVI_dry';LANDSAT 5;EVI, Dry season average from 28 years
32;'L5_SMTVI_std';LANDSAT 5;EVI, Seasonal composite made of the average from 28 years for each pair of months, Standard deviation of the SMT composite
33;'L5_NDMI_pc1';LANDSAT 5;NDMI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
34;'L5_NDMI_pc2';LANDSAT 5;NDMI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
35;'L5_NDMI_pc3';LANDSAT 5;NDMI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
36;'L5_NDMI_std';LANDSAT 5;NDMI, Seasonal composite made of the average from 28 years for each pair of months, Standard deviation of the SMT composite
37;'L5_NDMI_dry';LANDSAT 5;NDMI, Dry season average from 28 years
38;'L5_NDWI_pc1';LANDSAT 5;NDWI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
39;'L5_NDWI_pc2';LANDSAT 5;NDWI, Seasonal composite made of the average from 28 years for each pair of months, PCA of the SMT composite
40;'L5_NDWI_std';LANDSAT 5;NDWI, Seasonal composite made of the average from 28 years for each pair of months, Standard deviation of the SMT composite
41;'L5_NDWI_dry';LANDSAT 5;NDWI, Dry season average from 28 years
42;'MSRM_1';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 60, x 2
43;'MSRM_2';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 120, x2
44;'MSRM_3';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 240, x2
45;'MSRM_4';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 480, x2
46;'MSRM_5';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 960, x2
47;'MSRM_6';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 1920, x2
48;'MSRM_7';TanDEM-X 30m EDEM;MSRM, fmin 0, fmax 3840, x2
