Band_name,Raw_data,Processing,Lp_53,Lp_48,Lp_36
S2_B1',Sentinel 2,Dry season average from 3 years,1,1,1
S2_B2',Sentinel 2,Dry season average from 3 years,2,2,2
'S2_B3',Sentinel 2,Dry season average from 3 years,3,3,3
'S2_B4',Sentinel 2,Dry season average from 3 years,4,4,4
'S2_B5',Sentinel 2,Dry season average from 3 years,5,5,5
'S2_B6',Sentinel 2,Dry season average from 3 years,6,6,6
'S2_B7',Sentinel 2,Dry season average from 3 years,7,7,7
'S2_B8',Sentinel 2,Dry season average from 3 years,8,8,8
'S2_B8A',Sentinel 2,Dry season average from 3 years,9,9,9
'S2_B9',Sentinel 2,Dry season average from 3 years,10,10,
S2_B10',Sentinel 2,Dry season average from 3 years,11,,
'S2_B11',Sentinel 2,Dry season average from 3 years,12,11,10
'S2_B12',Sentinel 2,Dry season average from 3 years,13,12,11
'S2_MSBI_Dry',Sentinel 2,Dry season average from 3 years,14,13,12
'S1_VH_STM_pc1',Sentinel 1,VH - Seasonal composite made of the average from 5 years for each pair of months - PCA of the SMT composite,15,14,
'S1_VH_STM_pc2',Sentinel 1,VH - Seasonal composite made of the average from 5 years for each pair of months - PCA of the SMT composite,16,15,
S1_VH_STM_pc3',Sentinel 1,VH - Seasonal composite made of the average from 5 years for each pair of months - PCA of the SMT composite,17,,
'S1_VH_std',Sentinel 1,VH - Seasonal composite made of the average from 5 years for each pair of months - Standard deviation of the SMT composite,18,16,
'S1_VH',Sentinel 1,Dry season average from 5 years,19,17,
'S1_VV_STM_pc1',Sentinel 1,VV - Seasonal composite made of the average from 5 years for each pair of months - PCA of the SMT composite,20,18,13
'S1_VV_STM_pc2',Sentinel 1,VV - Seasonal composite made of the average from 5 years for each pair of months - PCA of the SMT composite,21,19,
'S1_VV_STM_pc3',Sentinel 1,VV - Seasonal composite made of the average from 5 years for each pair of months - PCA of the SMT composite,22,20,14
'S1_VV_std',Sentinel 1,VV - Seasonal composite made of the average from 5 years for each pair of months - Standard deviation of the SMT composite,23,21,15
'S1_VV',Sentinel 1,Dry season average from 5 years,24,22,16
L5_B1',LANDSAT 5,Dry season average from 28 years,25,23,17
'L5_B2',LANDSAT 5,Dry season average from 28 years,26,24,18
'L5_B3',LANDSAT 5,Dry season average from 28 years,27,25,19
'L5_B4',LANDSAT 5,Dry season average from 28 years,28,26,20
'L5_B5',LANDSAT 5,Dry season average from 28 years,29,27,21
L5_B6',LANDSAT 5,Dry season average from 28 years,30,,
'L5_B7',LANDSAT 5,Dry season average from 28 years,31,28,22
'L5_SMTVI_pc1',LANDSAT 5,EVI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,32,29,
'L5_SMTVI_pc2',LANDSAT 5,EVI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,33,30,
L5_SMTVI_pc3',LANDSAT 5,EVI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,34,,
'L5_EVI_dry',LANDSAT 5,EVI - Dry season average from 28 years,35,31,23
'L5_SMTVI_std',LANDSAT 5,EVI - Seasonal composite made of the average from 28 years for each pair of months - Standard deviation of the SMT composite,36,32,
'L5_NDMI_pc1',LANDSAT 5,NDMI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,37,33,
'L5_NDMI_pc2',LANDSAT 5,NDMI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,38,34,24
'L5_NDMI_pc3',LANDSAT 5,NDMI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,39,35,
'L5_NDMI_std',LANDSAT 5,NDMI - Seasonal composite made of the average from 28 years for each pair of months - Standard deviation of the SMT composite,40,36,25
'L5_NDMI_dry',LANDSAT 5,NDMI - Dry season average from 28 years,41,37,26
'L5_NDWI_pc1',LANDSAT 5,NDWI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,42,38,27
'L5_NDWI_pc2',LANDSAT 5,NDWI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,43,39,
L5_NDWI_pc3',LANDSAT 5,NDWI - Seasonal composite made of the average from 28 years for each pair of months - PCA of the SMT composite,44,,
'L5_NDWI_std',LANDSAT 5,NDWI - Seasonal composite made of the average from 28 years for each pair of months - Standard deviation of the SMT composite,45,40,28
'L5_NDWI_dry',LANDSAT 5,NDWI - Dry season average from 28 years,46,41,29
'MSRM_1',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 60 - x 2,47,42,30
'MSRM_2',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 120 - x2,48,43,31
'MSRM_3',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 240 - x2,49,44,32
'MSRM_4',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 480 - x2,50,45,33
'MSRM_5',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 960 - x2,51,46,34
'MSRM_6',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 1920 - x2,52,47,35
'MSRM_7',TanDEM-X 30m EDEM,MSRM - fmin 0 - fmax 3840 - x2,53,48,36
