Epoch,Train_Loss,Val_Loss,Precision,Recall,F1_Score,IoU_Score,Average_precision,Accuracy,Balanced_accuracy,Roc_auc,Jaccard_score
1,0.8429925205284761,0.7677573353174783,0.1826562056626181,0.8060737484303727,0.29782524897326645,0.17496749758720398,0.1618597763339173,19170327,0.7559273985463749,0.755927398546375,0.5544180683414897
2,0.7995968463216011,0.7347427098839371,0.2140365193614908,0.78527695750103,0.3363868307790767,0.20220255851745605,0.18427178953713658,20594283,0.7750315595368812,0.7750315595368812,0.6211810850696621
3,0.7853567750623937,0.7103756705429328,0.25614406037566234,0.7108007627957005,0.3765827979790375,0.2319692075252533,0.20387803355166803,22104086,0.7712128136007056,0.7712128136007056,0.6985320203190367
4,0.7747424329874503,0.6938352974844567,0.263768936071688,0.7189186655515837,0.38593834138413374,0.2391100376844406,0.2108268208734202,22237198,0.7776193024237601,0.77761930242376,0.7057072442550445
5,0.7639636179428868,0.6709559184533579,0.3027272485736498,0.6465068545532143,0.4123645381433209,0.25973501801490784,0.22237475748565505,23139368,0.7625211108586878,0.7625211108586879,0.755982355660927
6,0.7589222175329651,0.6598322072637425,0.3074489336953018,0.6617055342160251,0.41983123980936093,0.26568758487701416,0.22895393299623457,23167257,0.7700617919354964,0.7700617919354965,0.7575837900384412
7,0.7507820205671042,0.654634315781142,0.3011627879037555,0.6802687053935972,0.4174955078152206,0.26381948590278625,0.22898490674606897,23026528,0.775754387404268,0.775754387404268,0.7495325700988608
8,0.7478794418479668,0.6449916485405753,0.33692258880119413,0.6067304632281653,0.4332549933172285,0.2765319049358368,0.23408054461880823,23656707,0.7546656267788948,0.7546656267788948,0.7861720470951369
9,0.7419384492380745,0.6374342218348028,0.3351101950355307,0.6309958529768028,0.4377431313937245,0.28019919991493225,0.2392824582129677,23588570,0.7644375432267887,0.7644375432267888,0.7821366403593312
10,0.7381204088819528,0.6372562747433352,0.3631594942864089,0.5601037125848956,0.4406262038743283,0.2825661301612854,0.2365827932197282,23991607,0.7399931186554092,0.7399931186554092,0.8062751156443358
11,0.7385602725271333,0.6331086416303375,0.3315851588806458,0.6512622393925265,0.4394352439683934,0.2815873324871063,0.24224977082255336,23506275,0.7720881530539978,0.7720881530539978,0.7772869721766198
12,0.736609795084819,0.6291606956058078,0.33648118467593235,0.6498876282530449,0.44339390336454604,0.28484657406806946,0.24507950629065947,23566905,0.7726769722120472,0.7726769722120471,0.780857350832269
13,0.7324366279668303,0.6372950982164454,0.3103153937340049,0.6990164080019539,0.4298201077239044,0.27373939752578735,0.23961493673505257,23115103,0.786146023439148,0.7861460234391481,0.7545913898486414
14,0.7325334765793419,0.628799633969986,0.3747693133277666,0.5595945242518212,0.4489019098579352,0.2894091010093689,0.24293306943995002,24089132,0.7417217940863996,0.7417217940863996,0.8122146104095341
15,0.72959911845066,0.6230886313650343,0.34105355625157896,0.6547594553855794,0.4484939203223929,0.2890700399875641,0.24934516768713724,23610182,0.7757850567490849,0.7757850567490848,0.7834146328514646
16,0.729842122119785,0.6251338094840815,0.3314849305892569,0.6797654378550935,0.44565026825356674,0.286711722612381,0.24948324099444996,23446336,0.7839711057377424,0.7839711057377424,0.7737713297244323
17,0.727017920021601,0.6227967900994383,0.36212108215274724,0.6102928079614951,0.45453873971934233,0.29411202669143677,0.25039057569341217,23905182,0.7613015908574782,0.7613015908574782,0.8010440803779036
18,0.7274232871789601,0.6204688860555735,0.3450648028254063,0.6524311029206786,0.45139234875976325,0.29148271679878235,0.2513437349974641,23659651,0.7757113095369053,0.7757113095369053,0.7863468170979845
19,0.7236637827247326,0.6286947322480473,0.32970307898253276,0.677243672767552,0.4434977792913507,0.28493231534957886,0.24763075098284745,23429154,0.7824673175930326,0.7824673175930326,0.7727661058286479
20,0.7259307056937837,0.6127024697668758,0.3681521681029107,0.6320699837918249,0.4652925042400407,0.30317991971969604,0.2604462416815619,23929525,0.7717918626873983,0.7717918626873984,0.8025144184654821
21,0.7258592063809661,0.6187570134308112,0.3509762674157838,0.6479470878325204,0.455318316816922,0.2947651445865631,0.25396494801603736,23731912,0.7751062937690498,0.7751062937690498,0.790647325741776
22,0.7243400150722734,0.6125071004584983,0.37038233487341754,0.6268019568226056,0.46562380535764225,0.30346131324768066,0.26030197966001545,23957950,0.7699447015603333,0.7699447015603332,0.8042343540710396
23,0.717938832107802,0.6167939813048752,0.3551846088633188,0.6395814985037659,0.45672948183476103,0.2959490716457367,0.2543513126051073,23790070,0.7724350034045102,0.7724350034045104,0.794123582890803
24,0.7239448746336008,0.6139807222801962,0.35547086316771714,0.6623647160115554,0.4626510649634053,0.3009408414363861,0.26091491566961117,23755460,0.7822009496716626,0.7822009496716626,0.792053227613585
25,0.7218947932532762,0.6265812415644956,0.317967367102565,0.7293372903977047,0.44286150414148673,0.28440725803375244,0.2523181222212135,23154610,0.8008648437010438,0.8008648437010438,0.7568572157213741
26,0.7219498025651824,0.6186984218197105,0.34442906598873446,0.6726131180137708,0.4555710896819258,0.2949770390987396,0.2563581590271052,23615627,0.7840933048328873,0.7840933048328874,0.783736903702482
27,0.7200711911077691,0.6188239214842212,0.34583789013046823,0.6692007667428969,0.45601215220107344,0.2953469753265381,0.2563829827515425,23637916,0.7829748235123728,0.7829748235123727,0.7850573281864812
28,0.7196558351054706,0.6134924152751028,0.3646180411315607,0.643976208273817,0.4656091262359663,0.3034488260746002,0.2616557144547063,23877878,0.7762200887857413,0.7762200887857413,0.7993977469041174
29,0.7186849451806036,0.6206551410043191,0.3579137538913492,0.6252975816021177,0.4552482190780912,0.2947063744068146,0.25206166811155,23840884,0.7668981416609439,0.7668981416609439,0.7971719367898193
30,0.7147076725959778,0.6128544024969815,0.3713716433986034,0.6257164778179899,0.46610395154507145,0.3038693070411682,0.2606008280075396,23968611,0.7696607648857678,0.7696607648857678,0.8048802749283801
31,0.715966663369313,0.6180306768711702,0.334088983530639,0.7060542591482444,0.4535624327064702,0.2932950258255005,0.25805355853355966,23425812,0.7956303330625292,0.7956303330625292,0.7725707162150129
32,0.7159252883747247,0.6088069792637609,0.36775082441161855,0.6426746202673732,0.4678111040777205,0.3053220808506012,0.26329265460838125,23910269,0.7762741858682038,0.776274185868204,0.8013511412489335
33,0.7146785082721188,0.6257089587396064,0.3233959242591377,0.709225338040365,0.44422982961402396,0.28553691506385803,0.25129003811457146,23277166,0.7940953273794011,0.7940953273794011,0.7639234951680879
34,0.7141324875559624,0.6110851573355404,0.3983686070677102,0.5923419456224359,0.47636604888206757,0.31265124678611755,0.26671492589503126,24234544,0.7596860524979789,0.759686052497979,0.8211434299428648
35,0.7117589792778113,0.6135108664693165,0.3659675836071687,0.6362702941401402,0.46466873231905215,0.30265048146247864,0.26028583254826615,23902518,0.7731772463475673,0.7731772463475675,0.8008833180980496
36,0.7102420570863448,0.6146027602776578,0.39936814864612563,0.5762516929771976,0.4717750950935505,0.3087078928947449,0.2620945461012013,24258521,0.7527796505681974,0.7527796505681974,0.8226241608323538
37,0.7121215137964628,0.6155258193918707,0.39208910160151583,0.5924919390848918,0.47189540017950976,0.30881091952323914,0.26304281010214486,24186112,0.7587803311969503,0.7587803311969504,0.8181597748430396
38,0.7086422907586943,0.6141180180227805,0.36158724028817507,0.6486107102239788,0.4643235647277628,0.30235767364501953,0.2610302057348235,23840683,0.777599846087013,0.777599846087013,0.7971598583062196
39,0.7077560789842274,0.6104815013614702,0.37572531964101297,0.6372437714474616,0.4727264075926873,0.3095230758190155,0.2667867331184531,23992725,0.7754395241275027,0.7754395241275027,0.806342983782853
40,0.7082400587838572,0.6137454885023611,0.354562725181604,0.6806032302868378,0.4662373889386682,0.30398276448249817,0.2654045940230488,23715462,0.7897714748264459,0.7897714748264458,0.7896665085033588
41,0.7059678680500121,0.6135607194998627,0.3590282066571544,0.6654533971792348,0.46641450448402,0.3041333556175232,0.26414715799209115,23787963,0.7842733800314483,0.7842733800314483,0.7939974063200597
42,0.7058106741478064,0.6098610641043863,0.3671466734723883,0.6530113407886005,0.47002707062779175,0.3072126805782318,0.26591990661897025,23889279,0.7805985844932126,0.7805985844932126,0.800084820258317
43,0.7002508626123669,0.6087569491362866,0.38515423637793755,0.6213982449778094,0.47555228557711066,0.31195053458213806,0.2678873075465842,24096029,0.7702418071666866,0.7702418071666866,0.8126361326606655
44,0.7048549488649943,0.6116930876739721,0.3604933048764836,0.6735451497590976,0.4696315034159043,0.3068747818470001,0.2674288766738183,23790537,0.7880410347292512,0.7880410347292511,0.7941515513395372
45,0.6986376320640173,0.6114146520571454,0.4064132769743791,0.580710051288883,0.4781738373694522,0.31421056389808655,0.2676300116703899,24305054,0.7557633845511808,0.7557633845511808,0.8255047489258612
46,0.6954935726997403,0.6100770566198561,0.4050542833188173,0.5894915764362244,0.48017109653378004,0.3159376084804535,0.2697355454156413,24286994,0.7594325740125596,0.7594325740125596,0.8243856785839367
47,0.6948367241749598,0.6073721718395688,0.39051454952528813,0.6271167457339442,0.4813103028590925,0.31692472100257874,0.27302008030342956,24134414,0.7736402552563905,0.7736402552563905,0.8149856864980051
48,0.6976021125068176,0.6100777897815155,0.4049756110143456,0.588736675128469,0.47986524482286647,0.3156728446483612,0.2694403847925283,24287139,0.7590888295041192,0.7590888295041192,0.8243946579043117
49,0.6923208026389099,0.6078268672213142,0.39763131651601197,0.611843562739453,0.48200934238873244,0.31753116846084595,0.2725618911826586,24208605,0.7681195242774403,0.7681195242774403,0.8195442401153156
50,0.6954724730913556,0.613841121579394,0.4050274257600126,0.5866071626812318,0.4791926215616104,0.31509092450141907,0.2687689812742479,24289540,0.7581592399544719,0.7581592399544721,0.8245433559149563
51,0.6953502561100222,0.608858063142486,0.4050895582065077,0.5923606948052429,0.48114506248910427,0.3167814314365387,0.2707022082535206,24284526,0.7607004537924977,0.7607004537924977,0.8242328579129222
52,0.6902207420556593,0.6103728376788857,0.4120958975165476,0.5895517711810259,0.48510444115189044,0.32022303342819214,0.27390678394897344,24337343,0.7604733929174241,0.760473392917424,0.8275089306087932
53,0.6885940356272012,0.6092194988403792,0.39512175839327307,0.6164810250869,0.48158243655761457,0.3171607255935669,0.27250905135683295,24183808,0.7697501268843745,0.7697501268843745,0.8180180804267257
54,0.6895450500727136,0.6128017887657071,0.40590622323995873,0.5856282579788874,0.4794793502826057,0.31533893942832947,0.26896097305830496,24296815,0.7578561071260481,0.7578561071260481,0.8249940570570736
55,0.6929610698488992,0.6077439206127276,0.37325120690666125,0.659570594373765,0.4767240971965283,0.31295979022979736,0.27185980397639997,23939207,0.7846153999018833,0.7846153999018833,0.8030998870959815
56,0.6891818344048216,0.6111467372733379,0.4330497675720829,0.5578656522371969,0.48759679425366864,0.32239869236946106,0.27492819182747086,24497498,0.7491454477037081,0.7491454477037081,0.8375151716838721
57,0.6902927022965343,0.6194815120579283,0.4439866640576661,0.5250565559231383,0.48113046745332866,0.3167687952518463,0.2689370845908858,24578592,0.7357108637288182,0.7357108637288183,0.8426237061659728
58,0.6911726877284007,0.6118912547213551,0.41774981575903847,0.5708366329428076,0.4824401519027669,0.3179051876068115,0.27083326204018865,24391522,0.752969359951285,0.752969359951285,0.8308817322683905
59,0.6844595432063562,0.6097438254474122,0.4069578026543659,0.6014027349136921,0.48543259358616747,0.32050907611846924,0.27480668490447313,24289752,0.7649578616047952,0.7649578616047952,0.8245564865998868
60,0.6817857236269406,0.6092265302261698,0.4003897300316919,0.617803335874341,0.485884493120747,0.3209031820297241,0.2761863703965375,24224080,0.7711677487970664,0.7711677487970664,0.82049796583293
61,0.6845067501939847,0.6140177259719911,0.4343322556961557,0.5557484747786486,0.4875955691705106,0.3223976194858551,0.2748837613531168,24506505,0.7483544555845979,0.748354455584598,0.8380811708627486
62,0.684337968800142,0.6093242332768538,0.40997463129700756,0.5973065318699102,0.48622079738838775,0.32119664549827576,0.2752505993463762,24315438,0.7635937030507378,0.7635937030507378,0.8261488052197394
63,0.6854451140712341,0.6118003024485866,0.414994980198305,0.5828908772890655,0.48481855166768884,0.3199739158153534,0.2733540527150272,24363129,0.7579335009742186,0.7579335009742186,0.8291126336555465
64,0.6817060897511582,0.612779143661138,0.42263667514052844,0.5729671321891397,0.4864523858395365,0.3213987946510315,0.2743626109060086,24421964,0.7545603047048408,0.7545603047048408,0.8327823044786445
65,0.6805576144886191,0.6081154172312576,0.40685100627633947,0.6094160369654941,0.48794562320830737,0.3227037489414215,0.2773983352696582,24281529,0.7684722217996651,0.7684722217996652,0.8240473155277696
66,0.6777439505352181,0.6122901331740642,0.41001607462247275,0.5986762090139164,0.48670317632415694,0.3216177821159363,0.2757336459411017,24314518,0.764204166748988,0.764204166748988,0.8260917248736239
67,0.6810790844111817,0.6109227609241941,0.39950060981005475,0.6147975458306505,0.4842994007298048,0.31952181458473206,0.27466294272152764,24220185,0.7697090641641917,0.7697090641641917,0.820257822471892
68,0.6787702355132025,0.6096899036026786,0.4000629913340172,0.6123093319123426,0.4839371786875174,0.3192065358161926,0.27420090569864297,24227089,0.7687053675450609,0.7687053675450609,0.8206835269025319
69,0.6805005597675958,0.6156020034487846,0.40870733303482243,0.5971772611884515,0.4852857418655241,0.3203810453414917,0.27445054919329703,24306399,0.7633524475079172,0.7633524475079172,0.8255881454743543
70,0.6769808122183331,0.6139829754829407,0.4205693589726116,0.5785588292615536,0.4870728677578827,0.32194072008132935,0.27510809216884996,24404177,0.7567701693872371,0.7567701693872371,0.831671337485412
71,0.6756171275754298,0.6115646924011011,0.4183819231944118,0.5845452459720094,0.48769875165947985,0.32248783111572266,0.2758956607388421,24384866,0.7591306278695522,0.7591306278695522,0.8304667061224242
72,0.679563097805602,0.6132709266226969,0.41980268421856465,0.5791000885652188,0.4867496181502923,0.32165834307670593,0.27485092748699236,24398666,0.7569078257799358,0.7569078257799358,0.8313273964680147
73,0.6730597704594489,0.6129963236090578,0.42218135305465493,0.5761707754513989,0.48730012312313375,0.32213932275772095,0.27521263447867655,24416607,0.7559236679339217,0.7559236679339217,0.832447567181666
74,0.6781317643971069,0.6130787016432963,0.42267000523826925,0.5792624170163636,0.4887292663584763,0.32338961958885193,0.2765677623291519,24417512,0.7573616089279329,0.757361608927933,0.8325041083933966
75,0.6749530484733024,0.6168751120567322,0.43607370733604534,0.5526543662159462,0.4874910398477068,0.32230621576309204,0.27473566052202203,24518700,0.7471789939490044,0.7471789939490044,0.8388480595922982
76,0.6715541232438584,0.6122264349411545,0.40745096900834926,0.6025118970965904,0.4861447178901658,0.32113024592399597,0.275471555632338,24292356,0.7655196065098417,0.7655196065098416,0.824717786469802
77,0.6767151677194417,0.6140143238467934,0.4197611653754267,0.5782282515646933,0.4864135042112461,0.3213648498058319,0.2745266722419843,24399065,0.7565154938534145,0.7565154938534144,0.8313522936849524
78,0.6747725027352844,0.6184260222156353,0.43010415458733486,0.5636492817336086,0.4879035159894482,0.3226669132709503,0.2753363125843135,24475807,0.7513648902504246,0.7513648902504246,0.8361535403999159
79,0.6735377710523728,0.6125646913002548,0.41725033041721443,0.5849014804453424,0.4870526268216423,0.32192304730415344,0.27535596625235226,24376900,0.759133915857527,0.7591339158575269,0.8299702439278832
80,0.6717657641911201,0.6114140214252864,0.4087588996839455,0.6035361945573096,0.4874088439430619,0.3222343623638153,0.2766010403280007,24301019,0.7661643059148253,0.7661643059148252,0.825254604990788
81,0.6742277969172058,0.6111591053597721,0.4086052537303485,0.6049631060488317,0.4877640487878619,0.3225449323654175,0.2769837390827285,24298600,0.7667708880257104,0.7667708880257104,0.8251046754822352
82,0.6704425318149587,0.6130058522577639,0.42149712256502775,0.582825255149241,0.489203812351025,0.3238053023815155,0.27712138168818967,24407093,0.7587880570060057,0.7587880570060056,0.8318533770538379
83,0.67161622529056,0.6140542511096216,0.41856680851543443,0.5863481279187667,0.4884510234325244,0.3231460154056549,0.2766223925383479,24384695,0.7599550980929026,0.7599550980929026,0.8304560461208738
84,0.6705030348880635,0.6114022891217299,0.4066945376733702,0.6060707880330873,0.4867577368222294,0.3216654360294342,0.2761947761348589,24283472,0.7669751308896702,0.7669751308896702,0.824167601132763
85,0.6725865598134628,0.6144869710192268,0.4232834087972927,0.5777654427890889,0.4886045785307802,0.3232804536819458,0.27640233743258336,24422637,0.7567773059579509,0.7567773059579509,0.8328243661780916
86,0.6715163658262389,0.6133182762581625,0.413969548244014,0.592371549595289,0.48735718595828775,0.32218921184539795,0.27596604023503457,24348091,0.7619845615454426,0.7619845615454426,0.8281770367039766
87,0.6741405740734429,0.6157750671292529,0.4217486282799139,0.5766893383758767,0.48719689259878873,0.3220491111278534,0.27514290567023325,24413379,0.7560968427714884,0.7560968427714884,0.832245921528197
88,0.6703216787666028,0.6135069877522472,0.4204476913644161,0.5826283887297675,0.48842708110794436,0.32312506437301636,0.27644182179298965,24400249,0.7585599305978552,0.7585599305978552,0.8314261781333535
89,0.6741655567010534,0.6164382347844756,0.429378412964824,0.5675081595950177,0.48887357823624256,0.32351601123809814,0.2762931413502827,24468745,0.7529948375019992,0.7529948375019992,0.8357106656119391
90,0.6711182427580658,0.6134017865353651,0.4211765313734165,0.5791736050978041,0.4876978992947793,0.32248708605766296,0.27567194151217667,24407730,0.7571239812322422,0.7571239812322423,0.8318931484007045
91,0.6690729383576722,0.6142184960008158,0.4114522877074748,0.5949905143936983,0.4864860830649067,0.32142820954322815,0.2753549503835318,24328063,0.762784205794917,0.762784205794917,0.8269324695206255
92,0.6707555839087017,0.6140484689685052,0.41470234196567063,0.5913709353128523,0.48752494949088193,0.3223358690738678,0.2760606329785472,24354050,0.7616449773795122,0.7616449773795122,0.8285476644590932
93,0.6684879717268936,0.613705221762873,0.417776047066005,0.5875678116003168,0.48833392793435604,0.3230435252189636,0.27657630035906533,24378348,0.7603874745625665,0.7603874745625665,0.8300604670908093
94,0.6685301447917165,0.6152743910565789,0.42114053111123717,0.5786713243583955,0.48749561739226577,0.322310209274292,0.2754774410154355,24407873,0.7568962037490171,0.7568962037490171,0.8319020768996039
95,0.6686049786956481,0.614744734126354,0.4189032867811544,0.5858734775540211,0.48851512912457273,0.32320213317871094,0.27665665021429287,24387348,0.7597905178154585,0.7597905178154585,0.8306214459738986
96,0.6680277290684213,0.6138880723788415,0.4185705246008839,0.5861670502848149,0.4883907119117735,0.3230932056903839,0.276562434093129,24384863,0.7598753251193947,0.7598753251193947,0.8304665191037831
97,0.6677975792989435,0.6145699318544364,0.42699759779575414,0.5727880281533781,0.4892631094500315,0.32385724782943726,0.27679830681217227,24450150,0.755045246266714,0.755045246266714,0.8345455502406651
98,0.6702437741882841,0.6148899666075844,0.418144598459846,0.5860560353866155,0.4880621607517802,0.3228057026863098,0.276274722392784,24382060,0.7597679403909295,0.7597679403909295,0.8302917980503208
99,0.6711131526085751,0.615476546464143,0.4241285090555449,0.5740975105525828,0.48784767461532186,0.3226180672645569,0.27561155825544553,24430809,0.7552573804998135,0.7552573804998135,0.8333352605491787
